PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
Miles Bridges,CHA,Forward,3006.8,80,154,596,1214,267,333,1613,559,300,150,74,67,0.331,0.802,0.491,2021-22
Pascal Siakam,TOR,Forward,2987.0,68,75,596,1207,284,379,1551,580,360,181,85,42,0.344,0.749,0.494,2021-22
LeBron James,LAL,Forward,2969.3,56,161,640,1221,254,336,1695,459,349,196,73,59,0.359,0.756,0.524,2021-22
Russell Westbrook,LAL,Guard,2952.0,78,79,548,1233,266,399,1441,580,550,295,75,20,0.298,0.667,0.444,2021-22
Nikola Vučević,CHI,Center,2893.8,73,104,546,1154,92,121,1288,804,236,136,70,71,0.314,0.76,0.473,2021-22
Julius Randle,NYK,Forward-Center,2892.2,72,120,512,1246,303,401,1447,716,370,245,53,39,0.308,0.756,0.411,2021-22
Devin Booker,PHX,Guard,2872.9,68,183,662,1421,315,363,1822,342,329,162,77,26,0.383,0.868,0.466,2021-22
Tyrese Haliburton,IND,Guard,2846.2,77,161,430,909,160,190,1181,311,628,199,134,49,0.414,0.842,0.473,2021-22
Kevin Durant,BKN,Forward,2766.9,55,115,578,1115,372,409,1643,407,351,191,48,52,0.383,0.91,0.518,2021-22
Stephen Curry,GSW,Guard,2756.0,64,285,535,1224,275,298,1630,335,404,206,85,23,0.38,0.923,0.437,2021-22
Donovan Mitchell,UTA,Guard,2741.4,67,232,617,1376,267,313,1733,282,358,200,99,12,0.355,0.853,0.448,2021-22
Jonas Valančiūnas,NOP,Center,2734.6,74,57,510,938,237,289,1314,843,190,179,41,60,0.361,0.82,0.544,2021-22
Rudy Gobert,UTA,Center,2723.6,66,0,362,508,303,439,1027,968,72,119,45,137,0.0,0.69,0.713,2021-22
Darius Garland,CLE,Guard,2656.3,68,174,542,1173,215,241,1473,224,583,248,89,7,0.383,0.892,0.462,2021-22
Domantas Sabonis,SAC,Forward-Center,2620.9,62,39,443,773,246,332,1171,752,323,195,59,27,0.312,0.741,0.573,2021-22
Chris Paul,PHX,Guard,2620.6,65,63,363,736,169,202,958,283,702,153,121,20,0.317,0.837,0.493,2021-22
Anthony Edwards,MIN,Guard,2620.1,72,215,549,1245,220,280,1533,343,275,190,105,46,0.357,0.786,0.441,2021-22
Ja Morant,MEM,Guard,2598.0,57,88,580,1177,316,415,1564,325,384,196,66,22,0.344,0.761,0.493,2021-22
Fred VanVleet,TOR,Guard,2585.8,65,242,442,1097,194,222,1320,289,434,170,111,35,0.377,0.874,0.403,2021-22
Jaren Jackson Jr.,MEM,Forward-Center,2565.8,78,128,430,1036,284,345,1272,454,86,130,73,177,0.319,0.823,0.415,2021-22
Terry Rozier,CHA,Guard,2533.0,73,222,518,1167,150,176,1408,315,326,96,93,25,0.374,0.852,0.444,2021-22
Christian Wood,HOU,Forward,2504.7,68,131,440,878,207,332,1218,686,155,126,54,65,0.39,0.623,0.501,2021-22
Jrue Holiday,MIL,Guard,2499.7,67,132,478,954,137,180,1225,301,457,183,108,29,0.411,0.761,0.501,2021-22
Zach LaVine,CHI,Guard,2480.1,67,185,565,1186,320,375,1635,308,303,171,41,23,0.389,0.853,0.476,2021-22
Jaylen Brown,BOS,Guard-Forward,2476.3,66,166,576,1217,241,318,1559,404,231,178,70,18,0.358,0.758,0.473,2021-22
Scottie Barnes,TOR,Forward-Guard,2455.4,74,58,459,932,158,215,1134,557,256,136,80,55,0.301,0.735,0.492,2021-22
Clint Capela,ATL,Center,2410.4,74,0,370,604,80,169,820,877,92,44,55,93,0.0,0.473,0.613,2021-22
Shai Gilgeous-Alexander,OKC,Guard,2398.1,56,89,477,1052,328,405,1371,278,331,154,71,46,0.3,0.81,0.453,2021-22
Tobias Harris,PHI,Forward,2384.2,73,101,493,1022,170,202,1257,496,252,116,47,43,0.367,0.842,0.482,2021-22
Khris Middleton,MIL,Forward,2381.2,66,162,452,1021,259,291,1325,356,358,190,76,18,0.373,0.89,0.443,2021-22
Saddiq Bey,DET,Guard-Forward,2370.7,82,211,450,1136,210,254,1321,441,233,96,73,16,0.346,0.827,0.396,2021-22
Evan Mobley,CLE,Center,2359.0,69,23,422,830,167,252,1034,570,174,133,56,115,0.25,0.663,0.508,2021-22
Desmond Bane,MEM,Guard,2348.8,76,228,508,1101,140,155,1384,334,208,111,92,29,0.436,0.903,0.461,2021-22
Jakob Poeltl,SAS,Center,2339.3,68,1,410,663,94,190,915,634,189,109,45,118,1.0,0.495,0.618,2021-22
Jimmy Butler III,MIA,Forward,2332.2,57,27,398,829,396,455,1219,336,312,121,94,27,0.233,0.87,0.48,2021-22
CJ McCollum,NOP,Guard,2314.3,62,182,536,1164,116,170,1370,269,315,127,70,22,0.388,0.682,0.46,2021-22
Jalen Brunson,DAL,Guard,2304.3,79,94,506,1008,179,213,1285,309,377,124,66,3,0.373,0.84,0.502,2021-22
Kyle Kuzma,WAS,Forward,2280.7,66,128,423,936,156,219,1130,561,233,169,42,57,0.341,0.712,0.452,2021-22
Bam Adebayo,MIA,Center-Forward,2253.8,56,0,406,729,256,340,1068,564,190,148,80,44,0.0,0.753,0.557,2021-22
Nikola Jokić,DEN,Center,3842.4,69,57,646,1022,341,415,1690,817,678,247,87,47,0.383,0.822,0.632,2022-23
Luka Dončić,DAL,Forward-Guard,3747.3,66,185,719,1449,515,694,2138,569,529,236,90,33,0.342,0.742,0.496,2022-23
Joel Embiid,PHI,Center-Forward,3706.0,66,66,728,1328,661,771,2183,670,274,226,66,112,0.33,0.857,0.548,2022-23
Jayson Tatum,BOS,Forward-Guard,3690.8,74,240,727,1559,531,622,2225,649,342,213,78,51,0.35,0.854,0.466,2022-23
Domantas Sabonis,SAC,Forward-Center,3619.1,79,31,577,938,325,438,1510,973,573,230,65,39,0.373,0.742,0.615,2022-23
Giannis Antetokounmpo,MIL,Forward,3450.9,63,47,707,1278,498,772,1959,742,359,246,52,51,0.275,0.645,0.553,2022-23
Shai Gilgeous-Alexander,OKC,Guard,3425.3,68,58,704,1381,669,739,2135,329,371,192,112,65,0.345,0.905,0.51,2022-23
Julius Randle,NYK,Forward-Center,3324.4,77,218,658,1432,402,531,1936,767,316,216,49,21,0.343,0.757,0.459,2022-23
Anthony Edwards,MIN,Guard,3310.6,79,213,707,1541,319,422,1946,458,350,259,125,58,0.369,0.756,0.459,2022-23
Trae Young,ATL,Guard,3252.9,73,154,597,1390,566,639,1914,217,741,300,80,9,0.335,0.886,0.429,2022-23
Pascal Siakam,TOR,Forward,3143.7,71,93,630,1313,367,474,1720,556,415,169,65,36,0.324,0.774,0.48,2022-23
Nikola Vučević,CHI,Center,3140.1,82,121,597,1148,132,158,1447,903,265,139,60,57,0.349,0.835,0.52,2022-23
De'Aaron Fox,SAC,Guard,3000.7,73,119,682,1331,343,440,1826,306,447,181,83,23,0.324,0.78,0.512,2022-23
DeMar DeRozan,CHI,Guard-Forward,2997.1,74,46,657,1303,456,523,1816,343,377,153,83,36,0.324,0.872,0.504,2022-23
Bam Adebayo,MIA,Center-Forward,2974.6,75,1,602,1114,324,402,1529,688,240,187,88,61,0.083,0.806,0.54,2022-23
Donovan Mitchell,CLE,Guard,2918.3,68,245,679,1402,319,368,1922,289,301,180,99,27,0.386,0.867,0.484,2022-23
Anthony Davis,LAL,Forward-Center,2912.4,56,19,542,962,348,444,1451,702,148,122,59,114,0.257,0.784,0.563,2022-23
Dejounte Murray,ATL,Guard,2886.8,74,133,612,1319,158,190,1515,389,448,160,112,19,0.344,0.832,0.464,2022-23
Zach LaVine,CHI,Guard,2884.5,77,204,673,1388,363,428,1913,345,327,194,69,18,0.375,0.848,0.485,2022-23
